0: c4d5
1: a7a3
2: c2b3
3: c8a8
4: e7d7
5: g1h2
6: b7b6
7: d5g8
8: h6g7
9: b4f8
10: g4h6
11: b3d5
12: f3g5
13: g1h1
14: h4h1
15: g8h8
16: b1c1
17: f4f5
18: b2a1
19: e4b7
20: d1d2
21: a2c3
22: d2d1
23: c1b1
24: a7a6
25: a1a8
26: e5g5
27: c5b3
28: c5d6
29: c7c6
30: d4c4
31: f6f5
32: f5f4
33: e7e4
34: a3c5
35: d4g7
36: d8e8
37: a1b1
38: c7d7
39: g8h8
40: g1h1
41: d6d8
42: g6f8
43: e6h3
44: h1g1
45: g6e7
46: c1a2
47: h6g4
48: b7e4
49: a7a5
50: b4c4
51: d8b8
52: d8c8
53: h2h4
54: h6h3
55: f6h5
56: b7a7
57: d8e8
58: f2f4
59: b1a1
60: f5f4
61: a6a8
62: g8h7
63: g7f7
64: e6d7
65: g7f6
66: g2g4
67: d5e7
68: c5d6
69: d1e1
70: c8b7
71: e3h6
72: g8h8
73: b5f1
74: e8f8
75: a1f1
76: g2h3
77: d8h8
78: e3h6
79: a1b1
80: c4a4
81: c4e2
82: d3e3
83: d5c7
84: a1b1
85: g2g3
86: g8h8
87: b3b6
88: b1a1
89: d2e3
90: d1f1
91: d7a4
92: h1h2
93: e8f7
94: c3b5
95: g8h8
96: g7h8
97: e6d5
98: f7e7
99: f5c8
100: e8f8
