0: c4f7
1: a7a8
2: d1e2
3: e6g6
4: e6e5
5: a2a4
6: g8h8
7: f2f3
8: g2g4
9: b4f8
10: c5c4
11: a4b6
12: e2c4
13: d4e6
14: h4h3
15: g7d4
16: g1f1
17: g1e2
18: a7d7
19: c4d5
20: g5e6
21: e2d1
22: a2c4
23: b2a1
24: d8d3
25: b2c1
26: d8c8
27: f8b8
28: f8e8
29: e2f1
30: e3h6
31: b4c6
32: f5f4
33: h2h3
34: a3a5
35: e1e8
36: d8d5
37: a1c1
38: d8f8
39: g8h8
40: e4e3
41: g3g4
42: g6f4
43: e8f8
44: g4g7
45: a8b8
46: h2g3
47: g6g4
48: a7a5
49: a7a5
50: b4f4
51: d8d6
52: f6h4
53: g2d5
54: h6e3
55: g8h8
56: c8c5
57: d8d5
58: g2h3
59: c2d2
60: f5f4
61: a6a7
62: f7f5
63: d8h8
64: d8h4
65: g7c3
66: g2g4
67: d5e7
68: b6b8
69: d1d6
70: g8h8
71: a2c1
72: d6d5
73: b5f1
74: e8f8
75: a1a6
76: d1g1
77: e1e2
78: g3g7
79: g2g3
80: c4d3
81: e6e5
82: b7c7
83: d5e3
84: a1d1
85: a6a2
86: g8h7
87: c3d4
88: d3f1
89: g1h2
90: a2a4
91: g8h8
92: h1h2
93: e8f8
94: c1f4
95: f7f6
96: g8h8
97: a3a1
98: e8h8
99: f3h4
100: d8d7
