0: g1h1
1: a7e7
2: b2b4
3: e6h6
4: e7d7
5: f3b3
6: None
7: d5c4
8: g5h7
9: b4c3
10: g4h6
11: b3a3
12: b3f7
13: c1b1
14: h4e4
15: a8a1
16: d1d3
17: a3b3
18: a7a8
19: c4c5
20: d1e1
21: e2d2
22: e2c1
23: d1c2
24: d8a5
25: b2a2
26: e5d4
27: f8a8
28: c5b6
29: g7g5
30: e3f4
31: a8c8
32: b7b5
33: e7a7
34: e2d4
35: d4d3
36: f6g4
38: h7h6
39: g7f6
40: e4g4
41: g1f1
42: g8a8
43: g7g5
44: f3d2
45: d8e7
46: b4a3
47: d7c8
48: f6b2
49: b8d8
50: b4b5
51: h7h6
52: b5b4
53: c5e3
54: h6d2
56: b7b8
57: d8e8
58: d1d2
59: f1e1
60: a8a6
61: g7d4
62: e6e5
63: d5e3
64: a8b8
65: b5a4
66: b2b4
67: f3h5
68: b6b8
69: d1d8
70: d4f3
71: b1f1
72: e8d8
73: g8f8
74: d3f1
75: a1a7
76: d1e1
77: b3d5
78: f5e6
79: a2a4
80: e7e8
81: h5h4
82: d3d5
83: c6c3
84: a1a2
85: a6a1
86: e6e2
87: g3h1
88: g2g4
89: f1c4
90: c4c5
91: d7f5
92: h1h2
93: e8f7
94: d1d2
95: h3h4
96: f6d7
97: a3f3
98: e8e1
99: f5e4
