0: f3e5
1: a7a6
2: c2d3
3: d5d4
4: e7f8
5: c4b3
6: g7g5
7: g3g4
8: a1c1
9: g3g4
10: d4f2
11: b3c2
12: d2c3
13: h2h3
14: c6d7
15: c5a4
16: a1c1
17: g2g4
18: c4b5
19: e4c2
20: a4a5
21: c4b3
22: b2c1
23: b2b3
24: d8e7
25: b2c2
26: h8f8
27: d3b3
28: h6h5
29: e2e4
30: g3h4
31: a8a6
32: a1b1
33: a1a2
34: b3b4
35: h3h4
36: f6e8
37: e6g8
38: c7a7
39: d6c8
40: g1h2
41: a2a3
42: g8g7
43: f6d7
44: g4b4
45: g6e7
46: g2g4
47: g6e6
48: d6f5
49: b8b3
50: b4c5
51: g8f7
52: f6d4
53: g2f1
54: e3e2
55: e7e6
56: c8c5
57: e7c7
58: d3d4
59: 
60: g2g3
61: g8h8
62: e6g4
63: d6c5
64: e3d3
65: f8g8
66: e1c1
67: a1d1
68: b6b3
69: d1d4
70: d4b3
71: e2g3
72: a7b8
73: a1a2
74: g3h3
75: a1a4
76: e4e5
77: d8d2
78: e3f2
79: d3f1
80: c4d5
81: c4f1
82: f4h5
83: f1g3
84: c4a5
85: g2g4
86: d6d7
87: f4e5
88: f2f4
89: c6c7
90: f4f5
91: b2b4
92: h1h2
93: e8d7
94: c4a2
95: d5c3
96: c7b5
97: f8g8
98: a8c8
99: a1a3
100: d8d7
